id,full_name,email,phone,roles
11111111-aaaa-4a01-8000-000000000001,Pro 1,pro1@example.com,+237999990001,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000002,Pro 2,pro2@example.com,+237999990002,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000003,Pro 3,pro3@example.com,+237999990003,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000004,Pro 4,pro4@example.com,+237999990004,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000005,Pro 5,pro5@example.com,+237999990005,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000006,Pro 6,pro6@example.com,+237999990006,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000007,Pro 7,pro7@example.com,+237999990007,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000008,Pro 8,pro8@example.com,+237999990008,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000009,Pro 9,pro9@example.com,+237999990009,"{PROVIDER,CLIENT}"
11111111-aaaa-4a01-8000-000000000010,Pro 10,pro10@example.com,+237999990010,"{PROVIDER,CLIENT}"
