id,full_name,email,phone,roles
22222222-bbbb-4b01-8000-000000000001,Client 1,client1@example.com,+237999991001,{CLIENT}
22222222-bbbb-4b01-8000-000000000002,Client 2,client2@example.com,+237999991002,{CLIENT}
22222222-bbbb-4b01-8000-000000000003,Client 3,client3@example.com,+237999991003,{CLIENT}
22222222-bbbb-4b01-8000-000000000004,Client 4,client4@example.com,+237999991004,{CLIENT}
22222222-bbbb-4b01-8000-000000000005,Client 5,client5@example.com,+237999991005,{CLIENT}
22222222-bbbb-4b01-8000-000000000006,Client 6,client6@example.com,+237999991006,{CLIENT}
22222222-bbbb-4b01-8000-000000000007,Client 7,client7@example.com,+237999991007,{CLIENT}
22222222-bbbb-4b01-8000-000000000008,Client 8,client8@example.com,+237999991008,{CLIENT}
22222222-bbbb-4b01-8000-000000000009,Client 9,client9@example.com,+237999991009,{CLIENT}
22222222-bbbb-4b01-8000-000000000010,Client 10,client10@example.com,+237999991010,{CLIENT}
22222222-bbbb-4b01-8000-000000000011,Client 11,client11@example.com,+237999991011,{CLIENT}
22222222-bbbb-4b01-8000-000000000012,Client 12,client12@example.com,+237999991012,{CLIENT}
22222222-bbbb-4b01-8000-000000000013,Client 13,client13@example.com,+237999991013,{CLIENT}
22222222-bbbb-4b01-8000-000000000014,Client 14,client14@example.com,+237999991014,{CLIENT}
22222222-bbbb-4b01-8000-000000000015,Client 15,client15@example.com,+237999991015,{CLIENT}
22222222-bbbb-4b01-8000-000000000016,Client 16,client16@example.com,+237999991016,{CLIENT}
22222222-bbbb-4b01-8000-000000000017,Client 17,client17@example.com,+237999991017,{CLIENT}
22222222-bbbb-4b01-8000-000000000018,Client 18,client18@example.com,+237999991018,{CLIENT}
22222222-bbbb-4b01-8000-000000000019,Client 19,client19@example.com,+237999991019,{CLIENT}
22222222-bbbb-4b01-8000-000000000020,Client 20,client20@example.com,+237999991020,{CLIENT}
22222222-bbbb-4b01-8000-000000000021,Client 21,client21@example.com,+237999991021,{CLIENT}
22222222-bbbb-4b01-8000-000000000022,Client 22,client22@example.com,+237999991022,{CLIENT}
22222222-bbbb-4b01-8000-000000000023,Client 23,client23@example.com,+237999991023,{CLIENT}
22222222-bbbb-4b01-8000-000000000024,Client 24,client24@example.com,+237999991024,{CLIENT}
22222222-bbbb-4b01-8000-000000000025,Client 25,client25@example.com,+237999991025,{CLIENT}
